SW Bin,Desc,Site,Site%,Device#,Bin%,Good Bin,Reprobe Bin
"1580","PMBIST_Post_repair_Func_fail",1,50,33,50,1,0
"1412","TOP_SAF4_CORE_ROW_0_7_LOGIC_Fail",1,4.5,3,4.5,1,0
"4","TOP ONLY",1,10.6,7,10.6,1,0
"2","Medium",1,16.7,11,16.7,1,0
"1407","PMBIST_POST_BURN_fail",1,3,2,3,1,0
"1413","TOP_SAF4_EXT_IF_SCAN_Fail",1,1.5,1,1.5,1,0
"3","Slow",1,3,2,3,1,0
"1411","TOP_SAF4_CORE_ROW_0_7_SCAN_Fail",1,7.6,5,7.6,1,0
"1414","TOP_SAF4_EXTEST_SCAN_1_Fail",1,1.5,1,1.5,1,0
"1408","PMBIST_BWE_Func_fail",1,1.5,1,1.5,1,0